,depth,pressure,temperature,salinity,U_current,V_current,W_current,glitter,buoy_height,buoy_temp,buoy_windspeed,seismic
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.7321428571428572,0.6363636363636364,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.7500000000000003,0.6363636363636364,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.7321428571428572,0.6363636363636364,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.7500000000000003,0.6363636363636364,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.7500000000000003,0.7272727272727273,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.7500000000000003,0.6363636363636364,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.7321428571428572,0.6363636363636364,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.7321428571428572,0.6363636363636364,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.7321428571428572,0.6363636363636364,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.7321428571428572,0.6363636363636364,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.7321428571428572,0.6363636363636364,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.7321428571428572,0.6363636363636364,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7321428571428572,0.6363636363636364,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7142857142857141,0.6363636363636364,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001129293236503469,0.5666666666666667,0.7500000000000003,0.7272727272727273,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007545260635650383,0.5333333333333333,0.7500000000000003,0.7272727272727273,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022861037409337,0.5333333333333333,0.7678571428571428,0.7272727272727273,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043119485549700916,0.5666666666666667,0.7678571428571428,0.6363636363636364,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765982258067251,0.6,0.7678571428571428,0.6363636363636364,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11979894813091711,0.6,0.7500000000000003,0.6363636363636364,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17079430330443082,0.5777777777777777,0.7500000000000003,0.6363636363636364,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22644840501773317,0.5555555555555556,0.7500000000000003,0.6363636363636364,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3247598121834481,0.5333333333333333,0.7678571428571428,0.7272727272727273,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39127576301525346,0.5666666666666667,0.7857142857142859,0.7272727272727273,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45673113180884695,0.6,0.7678571428571428,0.7272727272727273,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5196692675701681,0.6,0.7857142857142859,0.7272727272727273,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5787932814561363,0.5666666666666667,0.7857142857142859,0.7272727272727273,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6329669245025343,0.5333333333333333,0.8035714285714284,0.7272727272727273,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6812153176158252,0.5333333333333333,0.7857142857142859,0.7272727272727273,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7227257311839074,0.5999999999999999,0.7857142857142859,0.7272727272727273,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85145412186161,0.6666666666666666,0.7857142857142859,0.8181818181818182,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8809821760999299,0.6666666666666666,0.7857142857142859,0.8181818181818182,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9012862319739406,0.6666666666666666,0.7857142857142859,0.8181818181818182,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912185805972615,0.6666666666666666,0.7678571428571428,0.8181818181818182,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9136844659793826,0.6666666666666666,0.7678571428571428,0.8181818181818182,0.0
